#,catalog,Name,Price
21792,КОМПЬЮТЕРНАЯ ТЕХНИКА,Разъем-планка COM1(Serial Port) CCDB9RECEPTACLE,18
17867,КОМПЬЮТЕРНАЯ ТЕХНИКА,Разветвитель питания CC-PSU-6 5.25'M->5.25'F+PCI-E(6pin) для видеоплат,18
13207,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель аудио (3.5mm Stereo Plug/2 Phono Plug), 2.5м,CCA-458-2.5M",18
65515,КОМПЬЮТЕРНАЯ ТЕХНИКА,Салфетки чистящие сухие для офисной техники CK-703 (50шт),"18,2"
71698,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель интерфейсный SATA III/6Gb/s Lanberg (CA-SASA-14CU-0030-BK) 7pin/7pin F/F, 30см, black","18,2"
83686,КОМПЬЮТЕРНАЯ ТЕХНИКА,"MOUSE MP-PRINT-S WHITE (коврик д/опт. мыши, резиновая пена/ткань, 220х180х3мм)",19
79225,КОМПЬЮТЕРНАЯ ТЕХНИКА,Соединитель аудио кабеля двойной (A-2RCAFF-01) 2 x RCA гнездо - 2 x RCA гнездо,19
52099,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,2м. (PP12-2M/RO) pink",19
52081,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель аудио/видео (вилка 2*RCA - вилка 2*RCA) 1.8м, CCA-2R2R-6",19
51404,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель USB OTG (A-OTG-AFBM-03) для моб.устройств,AF-Micro BM, 0.15 м",19
48341,КОМПЬЮТЕРНАЯ ТЕХНИКА,Переходник питания CC-SATA-PSY-0.3M 1x5.25'MOLEX->2xSATA (дл.30см),19
19900,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD FTP CAT.5E,2м. (PP22-2M)",19
75708,КОМПЬЮТЕРНАЯ ТЕХНИКА,"MOUSE PAD UGo (UPO-1428) ORIZABA MP100 GRAY (коврик  д/опт. мыши, 235*205*2мм, ткань/EVA)","19,6"
74406,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Шторка защитная для веб-камер Natec HYDRA (NWC-1487) черная, 11 х 28 х 1 мм","19,6"
74405,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Шторка защитная для веб-камер Natec CRAYFISH (NWC-1488) черная, 9 х 18 х 0.8 мм","19,6"
71700,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель аудио/видео Lanberg (CA-MJMJ-10CC-0012-BK)  3.5mm 3pin male <-> 3.5mm 3pin male, 1.2m, Black","19,6"
71552,КОМПЬЮТЕРНАЯ ТЕХНИКА,PATCH CORD UTP CAT.6. 0.5м. (PP6U-0.5M/B) blue,"19,6"
36538,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Соединитель для кабеля UTP CAT.5E (8p8c), NCA-LC5E-001 (2 порта RJ45)","19,6"
39366,КОМПЬЮТЕРНАЯ ТЕХНИКА,"RJ-11 розетка телефонная внутренняя SVEN SE-126 1порт,шторка (White)","19,6"
39367,КОМПЬЮТЕРНАЯ ТЕХНИКА,"RJ-11 розетка телефонная внутренняя SVEN SE-126 1порт,шторка (Ivory)","19,6"
29971,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель MINI USB2.0 (A - MINI USB 5PM)0,9м (CC-USB2-AM5P-3)","19,6"
11252,КОМПЬЮТЕРНАЯ ТЕХНИКА,Разветвитель питания CC-PSU-5 1x5.25'M->1x5.25'F+3PinF (для вентил.),"19,6"
368,КОМПЬЮТЕРНАЯ ТЕХНИКА,Разветвитель питания 2х5 1/4' CC-PSU-1,"19,6"
8059,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель аудио/видео (SCART Plug)-(SVHS+AUDIO ), 3м(CCV-4444)","19,6"
